sep=,
DeviceTag:,Left_Wrist,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.6.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.4,,,,,,,,,,,,,,,,,
StartTime:,2021-05-31 22:25:39.701 +0100,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2021,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
35, 80463966, -42.674686431884766, 68.36293029785156, -114.27692413330078, -8.903966903686523, -2.0741255283355713, 2.437521457672119, 1.152726411819458, -10.261515617370605, 14.539114952087402, 
36, 80480633, -42.1176872253418, 68.3382339477539, -113.62124633789062, -8.916130065917969, -1.885918140411377, 2.4367475509643555, -1.2899787425994873, -10.112438201904297, 16.87417984008789, 
37, 80497300, -41.5438232421875, 68.34414672851562, -112.85924530029297, -8.958849906921387, -1.7851653099060059, 2.408480167388916, -6.380884647369385, -10.35278034210205, 19.18143653869629, 
38, 80513967, -40.9294548034668, 68.36917877197266, -111.97864532470703, -8.99737548828125, -1.8481580018997192, 2.480581045150757, -10.727873802185059, -11.218025207519531, 21.30597686767578, 
39, 80530634, -40.32990264892578, 68.41197967529297, -111.05331420898438, -8.950450897216797, -2.1013169288635254, 2.36468505859375, -14.259930610656738, -10.984031677246094, 22.247268676757812, 
40, 80547301, -39.786842346191406, 68.46977996826172, -110.1680908203125, -9.128700256347656, -2.3353614807128906, 2.352118730545044, -15.520679473876953, -9.667110443115234, 21.777233123779297, 
41, 80563968, -39.25667953491211, 68.52790832519531, -109.33698272705078, -9.287614822387695, -2.4835188388824463, 2.4667317867279053, -13.353131294250488, -8.842172622680664, 20.589893341064453, 
42, 80580635, -38.74227523803711, 68.58470153808594, -108.60395050048828, -9.216224670410156, -2.499290943145752, 2.4799821376800537, -8.889139175415039, -7.481181621551514, 18.64971351623535, 
43, 80597302, -38.24824142456055, 68.65058135986328, -107.96961212158203, -9.152861595153809, -2.3407297134399414, 2.4990501403808594, -4.658629417419434, -5.638558864593506, 17.107919692993164, 
44, 80613969, -37.82435989379883, 68.71842193603516, -107.42958068847656, -9.145468711853027, -2.2984812259674072, 2.505547523498535, -3.6633365154266357, -4.209924697875977, 15.349021911621094, 
