PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
42,80580635,-38.74227524,68.58470154,-108.6039505,-9.21622467,-2.499290943,2.479982138,-8.889139175,-7.481181622,18.64971352, 
43,80597302,-38.24824142,68.65058136,-107.9696121,-9.152861595,-2.340729713,2.49905014,-4.658629417,-5.638558865,17.10791969, 
44,80613969,-37.82435989,68.71842194,-107.4295807,-9.145468712,-2.298481226,2.505547523,-3.663336515,-4.209924698,15.34902191, 
45,80630636,-37.49472809,68.79547119,-106.9772644,-9.156106949,-2.15831399,2.465494871,-4.476334572,-2.563589573,13.96571064, 
46,80647303,-37.17981339,68.88957214,-106.549408,-9.243913651,-2.121059418,2.472805023,-4.059154987,-1.405549049,13.94057465, 
47,80663970,-36.87511444,68.98871613,-106.1612549,-9.239386559,-2.143619061,2.528414488,-2.512678146,-0.626019657,13.21020794, 
48,80680637,-36.52426529,69.08614349,-105.7607956,-9.232214928,-1.970456362,2.584813833,-0.495100141,-0.820765793,13.16525555, 
49,80697304,-36.15340805,69.18135071,-105.3172073,-9.079163551,-1.807536006,2.457594872,-1.77784884,-1.409717321,13.61821556, 
50,80713971,-35.80357361,69.28296661,-104.8530273,-8.93315506,-1.815884233,2.425592899,-4.263486862,-1.291617513,13.98902702, 
51,80730638,-35.47848511,69.38726044,-104.3873291,-9.076636314,-1.890899777,2.499148607,-5.89285326,-1.120012164,13.91195965, 
52,80747305,-35.1338501,69.48355103,-103.9069214,-9.214189529,-2.104759216,2.589856625,-5.601686954,-1.614222407,13.72977448, 
53,80763972,-34.77782822,69.56528473,-103.451416,-9.111358643,-2.283701181,2.633348227,-3.559885263,-1.946694493,12.68716145, 
54,80780639,-34.40087509,69.64916992,-103.0469666,-9.020131111,-2.220526695,2.648327351,0.536893666,-1.139157295,11.82413387, 
55,80797306,-34.04053116,69.72928619,-102.7168808,-9.113195419,-2.108237267,2.730251312,3.696964264,-0.358712375,10.35694695, 
56,80813973,-33.70976639,69.7927475,-102.4310608,-9.272150993,-1.993360639,2.834963322,4.384806633,-0.589815855,8.966420174, 
57,80830640,-33.3739624,69.83422852,-102.1213379,-9.40020752,-1.9002949,2.868434906,3.308655739,-1.883750558,8.574398041, 
58,80847307,-33.0635376,69.83903503,-101.7989349,-9.289510727,-1.938338757,2.880451441,1.042174459,-3.801911354,7.513864517, 
59,80863974,-32.80812836,69.81507874,-101.5055313,-9.083399773,-1.903893352,2.815817356,-0.650761187,-4.865331173,6.036017895, 
60,80880641,-32.61719131,69.76845551,-101.2744827,-9.004896164,-1.951169848,2.839928865,-1.021197557,-5.277951241,4.186306, 
61,80897308,-32.48993301,69.70786285,-101.1157303,-9.076743126,-1.916686296,2.835827112,-0.784875572,-5.143964291,2.457301617, 
62,80913975,-32.37271118,69.64643097,-100.9787216,-9.276265144,-1.763977289,2.858004332,-0.173801392,-4.92922163,2.021610737, 
63,80930642,-32.26453781,69.56681061,-100.8247833,-9.352808952,-1.648195982,2.862085104,-1.686666608,-6.030056,1.691731691, 
64,80947309,-32.18815994,69.4765625,-100.6614151,-9.216815948,-1.599026561,2.854026556,-4.1431427,-6.675137997,1.465328455, 
65,80963976,-32.14766693,69.38322449,-100.5130386,-9.123998642,-1.637008667,2.868350506,-5.469568253,-6.666257858,1.039882302, 
66,80980643,-32.12022018,69.2986145,-100.3885574,-9.172780991,-1.613512993,2.883185625,-4.928293705,-5.949126244,0.844034672, 
67,80997310,-32.10474014,69.21818542,-100.2892838,-9.306765556,-1.592191577,2.917507887,-4.24599123,-5.451850891,0.466509879, 
68,81013977,-32.12007904,69.13195801,-100.2273102,-9.312421799,-1.532115221,2.968088627,-4.021034241,-5.318266392,-0.448907465, 
69,81030644,-32.13260651,69.05857086,-100.1644058,-9.21161747,-1.338562727,2.968439341,-3.926126003,-4.672582626,-0.090560101, 
70,81047311,-32.15162659,69.00045776,-100.0885544,-9.268353462,-1.216995597,3.058452368,-5.066749573,-4.037502766,0.54654938, 
71,81063978,-32.18564606,68.94626617,-100.0067673,-9.463627815,-1.163064003,3.150273323,-6.330750942,-3.890833139,0.686382174, 
72,81080645,-32.21267319,68.89788055,-99.90229034,-9.461109161,-1.039096951,3.14731288,-7.217091084,-3.842283249,1.185727477, 
73,81097312,-32.23269272,68.8677597,-99.77201843,-9.294569016,-0.903490067,3.061436176,-8.273703575,-3.199878454,2.129504204, 
74,81113979,-32.25687027,68.87702179,-99.63543701,-9.31496048,-0.802169085,3.072858572,-8.915034294,-1.266426802,3.389393806, 
75,81130646,-32.2403717,68.92552948,-99.47359467,-9.468484879,-0.750127792,3.153795242,-7.930482388,0.444969624,4.981402874, 
76,81147313,-32.14847946,69.01539612,-99.26681519,-9.50290966,-0.732544661,3.204696178,-5.966986179,2.05257678,6.989080429, 
77,81163980,-32.00626373,69.15808868,-99.03875732,-9.482453346,-0.793595731,3.232684135,-4.190412045,4.536395073,8.909572601, 
78,81180647,-31.81966972,69.36200714,-98.81277466,-9.522186279,-0.891172409,3.218351603,-1.462787151,7.748116493,10.66381741, 
79,81197314,-31.59503174,69.61553955,-98.61305237,-9.674236298,-1.048790693,3.263225794,2.243302822,10.65366173,11.59779835, 
80,81213981,-31.3033886,69.90666962,-98.41976166,-9.756446838,-1.105620861,3.332964897,6.582587242,12.74612522,12.49214935, 
81,81230648,-30.96098137,70.21961212,-98.22415161,-9.658027649,-1.083829522,3.322156429,9.454277039,13.96977711,13.02815056, 
82,81247315,-30.61711502,70.54920959,-98.03752136,-9.505702019,-1.052089334,3.289883137,10.00791073,15.0602684,13.18844986, 
83,81263982,-30.33460236,70.89349365,-97.89374542,-9.288963318,-1.122440577,3.086882353,8.711574554,16.39097977,12.71820259, 
84,81280649,-30.19796371,71.241745,-97.87229156,-9.23281765,-1.25793004,2.894299269,6.87360239,17.89344597,10.64414406, 
85,81297316,-30.18461037,71.60050201,-97.96260071,-9.253806114,-1.289210081,2.738945484,5.828820229,19.54536629,9.067372322, 
86,81313983,-30.16893578,71.94854736,-98.07596588,-9.261636734,-1.220553875,2.802251577,7.290475845,19.19658661,8.380874634, 
87,81330650,-30.18961716,72.30130768,-98.19894409,-8.996862411,-1.117688179,2.539394379,5.667676449,19.52402687,8.394523621, 
88,81347317,-30.34507561,72.67794037,-98.36334991,-8.870116234,-1.046140432,2.266485453,-0.032585815,21.10173798,8.516648293, 
89,81363984,-30.59434319,73.07289124,-98.51674652,-8.979342461,-1.115274906,2.272657633,-6.272237301,21.87475014,9.35499382, 
90,81380651,-30.88785744,73.48722076,-98.65974426,-8.83983326,-1.224408746,2.274705648,-9.501162529,22.69714546,10.24965, 
91,81397318,-31.19999123,73.91977692,-98.85745239,-8.597423553,-1.458308339,2.380306005,-7.447635174,24.02481079,10.19888687, 
92,81413985,-31.59689903,74.36589813,-99.16091156,-8.30343914,-1.43507874,2.204396486,-6.394771099,25.5313797,9.389461517, 
93,81430652,-32.08914948,74.83732605,-99.53426361,-8.172440529,-1.317909122,2.258462906,-8.02142334,27.27321243,9.585858345, 
94,81447319,-32.68838882,75.32090759,-99.96186829,-7.978294373,-1.356096148,2.328645229,-11.24601364,28.17916107,9.704731941, 
95,81463986,-33.46068573,75.80941772,-100.5057602,-7.767855167,-1.539267898,2.513581038,-14.81140232,29.18452072,8.944925308, 
96,81480653,-34.47903061,76.28833771,-101.2384949,-7.550628185,-1.977448463,2.680757999,-18.5069313,30.00880814,7.079113007, 
97,81497320,-35.63721085,76.8024826,-102.173584,-7.449908257,-2.606503725,3.08725214,-14.99001312,33.09508133,6.92916441, 
98,81513987,-36.63139725,77.33715057,-103.2454376,-7.432623863,-3.684252501,3.920926571,2.975888968,34.86764908,7.320565224, 
99,81530654,-37.39862061,77.85418701,-104.6074524,-7.515680313,-4.733180046,5.177024364,33.73872375,36.01119614,4.892836571, 
100,81547321,-37.87199783,78.34570313,-106.3236618,-7.933761597,-5.451720238,6.343290329,72.31816101,37.30314255,1.712953329, 
101,81563988,-37.77487946,78.76351929,-108.1660309,-8.852973938,-5.823042393,7.84686327,114.1323242,34.63895798,-1.133796692, 
102,81580655,-36.79250336,79.05963135,-109.7569199,-10.19645405,-6.049210072,9.387943268,152.5616455,27.16636467,-2.74402523, 
103,81597322,-34.73392868,79.08542633,-110.7492828,-11.61555099,-6.265273094,10.81810856,181.8946533,10.40711975,-6.910929203, 
104,81613989,-31.31839561,78.73596191,-110.6857147,-12.19821739,-6.314364433,10.97123718,201.0832367,-14.69304848,-9.287774086, 
105,81630656,-27.31608772,77.90689087,-110.4123688,-12.29358768,-7.428616524,11.40222073,223.9510651,-40.98805618,-19.81297493, 
106,81647323,-23.62070274,76.50759125,-110.8167572,-13.32156658,-7.759729862,10.90906048,245.2455444,-68.71934509,-39.15604019, 
107,81663990,-20.26499176,74.51017761,-111.81147,-15.03646851,-6.886178493,10.21512318,258.9879761,-100.1503448,-56.74542618, 
108,81680657,-17.01220894,71.9152832,-113.1764984,-16.15690231,-5.93737793,10.11463928,273.4354858,-134.0086975,-70.32732391, 
109,81697324,-13.73872471,68.82619476,-114.6085281,-17.7497406,-4.269584656,9.41550827,277.1690063,-164.6698456,-75.28098297, 
110,81713991,-10.73514557,65.30117798,-116.1333923,-19.60789108,-4.997152328,9.182486534,264.2669067,-192.524231,-78.26995087, 
111,81730658,-8.236924171,61.37506866,-118.2929611,-21.21155739,-6.825962067,9.575586319,265.4749451,-216.0967407,-94.99497223, 
112,81747325,-6.266912937,57.09059906,-121.2807846,-22.06656647,-7.484327316,8.534790039,272.0800781,-236.8434448,-122.3612823, 
113,81763992,-5.243052006,52.48138428,-125.0585403,-22.88004875,-5.624473572,6.483799934,246.553299,-255.7428284,-156.7397766, 
114,81780659,-5.321437359,47.52913284,-129.2102051,-23.48198318,-4.346834183,6.514984131,186.1248627,-275.4130554,-185.7843781, 
115,81797326,-6.318605423,42.06531906,-133.4913635,-25.11836052,-4.171328068,8.322995186,121.1950836,-302.7032471,-213.6204834, 
116,81813993,-7.895386219,35.91322708,-137.394455,-25.75061989,-3.395050764,8.876919746,52.82827377,-339.7556458,-225.3383026, 
117,81830660,-10.01958752,29.04922485,-140.5989838,-23.21751595,-2.527797461,8.456101418,-24.03006554,-378.6835632,-223.4410706, 
118,81847327,-12.64574146,21.52898598,-143.1483917,-20.1957531,-3.592666388,8.297412872,-91.9805069,-413.5134277,-223.508194, 
119,81863994,-15.39191151,13.43346596,-145.1553802,-16.91964531,-6.037729263,7.161777973,-128.2140503,-442.7874451,-228.5253906, 
120,81880661,-17.70826149,4.926674366,-146.9104156,-14.03598118,-9.322060585,6.01341486,-121.5423737,-459.9291077,-244.7234192, 
121,81897328,-18.87236214,-3.802671194,-148.6074829,-12.39180088,-10.24295235,4.737017155,-67.82983398,-466.3929749,-261.0906982, 
122,81913995,-19.00066757,-12.66149902,-150.3273773,-11.48926258,-8.966223717,2.834070683,-21.02769661,-471.3428345,-269.6586304, 
123,81930662,-18.21219635,-21.46396446,-152.2902222,-10.63098145,-8.232530594,0.759080887,14.46202564,-466.8225098,-276.3546753, 
124,81947329,-16.43902588,-30.02646446,-154.7190857,-9.936458588,-6.887764454,-1.502999663,44.82613373,-453.6885376,-279.8864136, 
125,81963996,-13.40113354,-38.09188843,-157.821228,-8.737365723,-4.930737495,-3.20368886,79.54862213,-430.0689697,-275.3833313, 
126,81980663,-8.901339531,-45.56677628,-161.9443817,-7.649287224,-3.044167995,-4.633455276,106.1156998,-406.1018677,-269.3070068, 
