PacketCounter,Gyr_X,Gyr_Y,Gyr_Z,Unnamed: 11
53,-3.559885263,-1.946694493,12.68716145, 
54,0.536893666,-1.139157295,11.82413387, 
55,3.6969642639999996,-0.358712375,10.35694695, 
56,4.384806633,-0.589815855,8.966420174, 
57,3.3086557389999998,-1.883750558,8.574398041, 
58,1.0421744590000002,-3.8019113539999996,7.513864517000001, 
59,-0.6507611870000001,-4.865331173,6.036017895, 
60,-1.021197557,-5.277951241,4.186306, 
61,-0.784875572,-5.1439642910000005,2.4573016169999997, 
62,-0.173801392,-4.92922163,2.021610737, 
63,-1.6866666080000001,-6.030056,1.691731691, 
64,-4.1431427,-6.675137997,1.465328455, 
65,-5.469568252999999,-6.666257858,1.039882302, 
66,-4.928293705,-5.9491262439999995,0.844034672, 
67,-4.24599123,-5.451850891,0.46650987899999996, 
68,-4.021034241000001,-5.318266392,-0.448907465, 
69,-3.9261260030000003,-4.6725826260000005,-0.09056010099999999, 
70,-5.066749573,-4.037502766,0.54654938, 
71,-6.330750942000001,-3.8908331389999997,0.686382174, 
72,-7.217091084,-3.842283249,1.1857274770000001, 
73,-8.273703575,-3.199878454,2.129504204, 
74,-8.915034294,-1.266426802,3.389393806, 
75,-7.930482388,0.444969624,4.981402874, 
76,-5.966986179,2.05257678,6.9890804289999995, 
77,-4.190412045,4.5363950730000004,8.909572601, 
78,-1.462787151,7.7481164929999995,10.66381741, 
79,2.243302822,10.65366173,11.59779835, 
80,6.582587242000001,12.74612522,12.49214935, 
81,9.454277038999999,13.96977711,13.02815056, 
82,10.00791073,15.0602684,13.18844986, 
83,8.711574554,16.39097977,12.71820259, 
84,6.87360239,17.89344597,10.64414406, 
85,5.828820229,19.54536629,9.067372322, 
86,7.290475845,19.19658661,8.380874634, 
87,5.667676449,19.52402687,8.394523621, 
88,-0.032585815,21.10173798,8.516648293, 
89,-6.2722373010000005,21.87475014,9.35499382, 
90,-9.501162529,22.69714546,10.24965, 
91,-7.447635174,24.02481079,10.19888687, 
92,-6.394771099,25.5313797,9.389461517, 
93,-8.02142334,27.27321243,9.585858345, 
94,-11.24601364,28.17916107,9.704731941, 
95,-14.81140232,29.18452072,8.944925308, 
96,-18.506931299999998,30.00880814,7.079113007, 
97,-14.99001312,33.09508133,6.92916441, 
98,2.975888968,34.86764908,7.320565224, 
99,33.73872375,36.01119614,4.892836571, 
100,72.31816101,37.30314255,1.712953329, 
101,114.13232420000001,34.63895798,-1.133796692, 
102,152.5616455,27.16636467,-2.74402523, 
103,181.89465330000002,10.40711975,-6.910929202999999, 
104,201.0832367,-14.69304848,-9.287774086, 
105,223.9510651,-40.98805618,-19.81297493, 
106,245.2455444,-68.71934509,-39.15604019, 
107,258.98797609999997,-100.1503448,-56.74542618, 
108,273.4354858,-134.0086975,-70.32732391, 
109,277.16900630000004,-164.6698456,-75.28098297, 
110,264.2669067,-192.52423100000001,-78.26995087, 
111,265.4749451,-216.09674069999997,-94.99497223, 
112,272.08007810000004,-236.84344480000004,-122.36128229999998, 
113,246.553299,-255.7428284,-156.73977659999997, 
114,186.1248627,-275.41305539999996,-185.7843781, 
115,121.19508359999999,-302.70324710000006,-213.62048340000004, 
116,52.82827377,-339.7556458,-225.33830260000002, 
117,-24.03006554,-378.6835632,-223.4410706, 
118,-91.98050690000001,-413.51342769999997,-223.508194, 
119,-128.2140503,-442.7874451,-228.5253906, 
120,-121.5423737,-459.9291077,-244.72341919999997, 
121,-67.82983398,-466.39297489999996,-261.09069819999996, 
122,-21.02769661,-471.3428345,-269.65863039999994, 
123,14.46202564,-466.82250980000003,-276.3546753, 
124,44.82613373,-453.6885376,-279.8864136, 
125,79.54862213,-430.06896969999997,-275.3833313, 
126,106.11569979999999,-406.10186769999996,-269.3070068, 
127,116.11966709999999,-377.009552,-257.6919861, 
