PacketCounter,Acc_X,Acc_Y,Acc_Z,Unnamed: 11
53,-9.111358642999999,-2.283701181,2.633348227, 
54,-9.020131111,-2.220526695,2.648327351, 
55,-9.113195419,-2.108237267,2.730251312, 
56,-9.272150993,-1.993360639,2.8349633219999997, 
57,-9.40020752,-1.9002949,2.868434906, 
58,-9.289510727,-1.938338757,2.8804514410000004, 
59,-9.083399773,-1.9038933519999999,2.815817356, 
60,-9.004896164,-1.9511698480000002,2.839928865, 
61,-9.076743126,-1.916686296,2.835827112, 
62,-9.276265144,-1.763977289,2.8580043319999997, 
63,-9.352808952,-1.6481959819999998,2.8620851039999997, 
64,-9.216815947999999,-1.5990265609999998,2.8540265560000004, 
65,-9.123998642,-1.637008667,2.868350506, 
66,-9.172780991,-1.613512993,2.883185625, 
67,-9.306765556,-1.592191577,2.9175078869999997, 
68,-9.312421799,-1.532115221,2.9680886269999998, 
69,-9.21161747,-1.338562727,2.9684393410000003, 
70,-9.268353462,-1.216995597,3.058452368, 
71,-9.463627815,-1.163064003,3.150273323, 
72,-9.461109161,-1.0390969509999999,3.14731288, 
73,-9.294569016,-0.903490067,3.0614361760000004, 
74,-9.31496048,-0.802169085,3.072858572, 
75,-9.468484879,-0.750127792,3.1537952419999997, 
76,-9.50290966,-0.7325446609999999,3.2046961780000003, 
77,-9.482453346,-0.7935957309999999,3.232684135, 
78,-9.522186279,-0.891172409,3.2183516030000003, 
79,-9.674236298,-1.048790693,3.263225794, 
80,-9.756446837999999,-1.105620861,3.332964897, 
81,-9.658027649,-1.083829522,3.3221564289999996, 
82,-9.505702019,-1.0520893340000002,3.289883137, 
83,-9.288963317999999,-1.122440577,3.086882353, 
84,-9.23281765,-1.25793004,2.894299269, 
85,-9.253806114,-1.289210081,2.738945484, 
86,-9.261636734,-1.220553875,2.802251577, 
87,-8.996862411,-1.1176881790000002,2.539394379, 
88,-8.870116234,-1.046140432,2.266485453, 
89,-8.979342461,-1.115274906,2.272657633, 
90,-8.83983326,-1.224408746,2.2747056480000003, 
91,-8.597423552999999,-1.458308339,2.380306005, 
92,-8.30343914,-1.43507874,2.204396486, 
93,-8.172440529,-1.317909122,2.258462906, 
94,-7.978294373,-1.3560961480000002,2.328645229, 
95,-7.7678551670000004,-1.539267898,2.5135810380000003, 
96,-7.550628185,-1.9774484630000002,2.680757999, 
97,-7.449908257000001,-2.606503725,3.08725214, 
98,-7.432623863,-3.6842525010000005,3.9209265710000003, 
99,-7.515680313,-4.733180046,5.177024363999999, 
100,-7.933761597,-5.451720237999999,6.343290328999999, 
101,-8.852973938,-5.823042393,7.84686327, 
102,-10.19645405,-6.049210072,9.387943267999999, 
103,-11.61555099,-6.265273093999999,10.81810856, 
104,-12.19821739,-6.314364433,10.97123718, 
105,-12.29358768,-7.428616524,11.40222073, 
106,-13.32156658,-7.759729862,10.90906048, 
107,-15.03646851,-6.886178492999999,10.21512318, 
108,-16.15690231,-5.93737793,10.11463928, 
109,-17.749740600000003,-4.269584656,9.41550827, 
110,-19.60789108,-4.997152328,9.182486534, 
111,-21.21155739,-6.825962067000001,9.575586319, 
112,-22.06656647,-7.484327316,8.534790038999999, 
113,-22.88004875,-5.624473572,6.483799933999999, 
114,-23.48198318,-4.346834183,6.514984131, 
115,-25.11836052,-4.171328068,8.322995186, 
116,-25.75061989,-3.3950507639999996,8.876919746, 
117,-23.21751595,-2.527797461,8.456101418, 
118,-20.1957531,-3.592666388,8.297412872, 
119,-16.91964531,-6.037729262999999,7.1617779729999995, 
120,-14.03598118,-9.322060585,6.01341486, 
121,-12.39180088,-10.24295235,4.737017155, 
122,-11.48926258,-8.966223717,2.834070683, 
123,-10.63098145,-8.232530594,0.759080887, 
124,-9.936458587999999,-6.887764454,-1.5029996630000002, 
125,-8.737365723,-4.930737495,-3.20368886, 
126,-7.649287224,-3.044167995,-4.633455276, 
127,-6.436324596,-0.948310256,-5.636235237, 
128,-5.252514361999999,1.511030436,-5.10087204, 
129,-3.0292897219999997,2.450694084,-3.459408283, 
130,-0.513427258,2.851063013,-1.172762275, 
131,-0.981983721,3.1290335660000004,1.809702516, 
132,-1.372518659,0.925260544,1.266148806, 
133,-1.4073036909999999,1.0949034690000001,-1.220467448, 
134,-0.7825545070000001,1.628848195,-3.7775015830000003, 
135,-0.482776105,2.303403378,-3.033021212, 
136,0.70113641,3.7645332810000003,-2.7951292989999996, 
137,2.794867516,5.282827854,-4.446377277, 
138,4.272070885,5.718931198,-5.419491291, 
139,5.107384682,5.445486546000001,-5.388907432999999, 
140,4.346582413,6.657580376,-3.45618248, 
141,3.7042505739999996,8.605443001,-2.217519283, 
142,4.927210331,9.639780997999999,-1.881106973, 
143,5.708434582000001,9.30681324,-0.759447992, 
144,7.102900505,10.35152721,-0.8944633009999999, 
145,7.233231067999999,13.88732243,-0.244080335, 
146,4.279123783,16.51965904,-0.255177885, 
147,3.873681545,17.971242899999996,-1.74088645, 
148,7.895118713,15.59529686,-1.6909813880000002, 
149,9.306365012999999,12.41823101,-2.343512058, 
150,9.191880226,11.72036076,-4.000931263, 
151,9.636329651,11.0424614,-4.453184605, 
152,9.966815947999999,8.726978302000001,-4.021927357, 
153,9.635144234,8.423745155,-3.3814520839999997, 
154,8.675726891,10.09667969,-2.565421343, 
155,7.591555595,11.63804245,-2.092502356, 
156,6.700285435,12.43859577,-2.323008299, 
157,5.661460400000001,12.71482658,-2.363675594, 
158,4.497978687,11.948659900000001,-2.149740219, 
159,3.505141258,10.69663715,-2.160440922, 
160,2.423929214,9.454253197,-2.0783989430000003, 
161,1.548477888,7.781946182,-1.6632719040000001, 
162,1.256003976,5.16599369,-1.32816267, 
163,1.292087913,4.057166576,-1.523754835, 
164,0.800802171,3.653386354,-1.448403835, 
165,-0.545772076,2.542095423,-0.7301869390000001, 
166,-2.528283358,1.6412856580000001,-0.5044990779999999, 
167,-3.595307112,0.81681639,-2.9249405860000004, 
168,-4.399030685,-2.5739629269999997,-2.49578023, 
169,-4.0846624369999995,-6.942107677,-0.428156435, 
170,-3.5574588780000003,-8.91285038,0.104112104, 
171,-2.588178635,-10.68508911,-1.29547894, 
172,-2.353478909,-9.489229202,-2.682993412, 
173,-2.634362936,-7.286139488,-4.412117004, 
