PacketCounter,Euler_X,Euler_Y,Euler_Z,Unnamed: 11
105,-27.31608772,77.90689087,-110.41236880000001, 
106,-23.62070274,76.50759125,-110.8167572, 
107,-20.26499176,74.51017761,-111.81147, 
108,-17.01220894,71.9152832,-113.17649840000001, 
109,-13.73872471,68.82619476,-114.6085281, 
110,-10.73514557,65.30117798,-116.1333923, 
111,-8.236924171,61.37506866,-118.2929611, 
112,-6.266912937000001,57.09059906,-121.28078459999999, 
113,-5.243052006,52.48138428,-125.05854029999999, 
114,-5.321437359,47.52913284,-129.2102051, 
115,-6.318605422999999,42.06531906,-133.4913635, 
116,-7.895386219,35.91322708,-137.394455, 
117,-10.01958752,29.04922485,-140.5989838, 
118,-12.64574146,21.52898598,-143.1483917, 
119,-15.39191151,13.43346596,-145.1553802, 
120,-17.70826149,4.926674366,-146.9104156, 
121,-18.87236214,-3.8026711939999998,-148.6074829, 
122,-19.00066757,-12.66149902,-150.3273773, 
123,-18.21219635,-21.46396446,-152.2902222, 
124,-16.43902588,-30.02646446,-154.7190857, 
125,-13.40113354,-38.09188843,-157.821228, 
126,-8.901339531,-45.56677628,-161.94438169999998, 
127,-2.8415071960000002,-52.23542023,-167.4325256, 
128,4.786817551,-58.14127731,-174.7132416, 
129,14.46398926,-63.36753845,175.58338930000002, 
130,27.12613869,-67.55693817,162.5118256, 
131,43.04999161,-70.19642639,145.42529299999998, 
132,60.92967987,-70.85816956,125.7628784, 
133,77.01220703,-69.51802063,108.0348282, 
134,88.60348511,-66.91876984,95.14451599, 
135,96.3510437,-63.55323792,86.46248627, 
136,101.5540771,-59.78982925,80.41001129, 
137,104.41160579999999,-56.02509689,76.52333069, 
138,105.7508469,-52.64611435,74.19158173, 
139,106.06424709999999,-49.59215927,73.12134552, 
140,105.97915649999999,-46.89442825,72.79267883, 
141,105.81589509999999,-44.64637756,72.6522522, 
142,105.42220309999999,-42.89331055,72.71090698, 
143,105.06691740000001,-41.64506149,72.85112, 
144,104.87015530000001,-40.8732605,72.86710358, 
145,104.6455765,-40.56630707,72.64433289, 
146,104.463295,-40.55857086,71.99790192, 
147,104.18167109999999,-40.95828247,70.99645996, 
148,104.3938446,-41.73955154,69.87438965, 
149,105.16491699999999,-42.76099396,69.05635834, 
150,106.10307309999999,-43.8296814,68.60691833, 
151,106.59520719999999,-44.75795746,68.35071564, 
152,106.6436462,-45.48452377,68.24417114, 
153,106.54328159999999,-46.08740234,68.38770294, 
154,106.62575530000001,-46.78768921,68.67810822, 
155,106.96063999999998,-47.833965299999996,69.02494812, 
156,107.3874969,-49.38605881,69.44809723, 
157,107.805397,-51.59985352,69.97198486, 
158,108.05525209999999,-54.46834564,70.60517883, 
159,107.9123001,-57.97708511,71.46932983, 
160,107.00764469999999,-62.06129837,72.83818054, 
161,105.29260249999999,-66.66532898,74.75965118, 
162,102.5851135,-71.60469818,77.49822235, 
163,97.54283142,-76.76255798,82.40834808, 
164,84.9907608,-81.99567413,94.51394653, 
165,39.03332901,-85.93273163,139.4051819, 
