PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Unnamed: 11
169,82697344,-68.38396454,-64.57757568,-125.14734650000001, 
170,82714011,-71.51247406,-57.65180206,-123.9894943, 
171,82730678,-73.10376740000001,-50.71146774,-123.36011509999999, 
172,82747345,-73.06838226,-43.63706589,-123.36885829999999, 
173,82764012,-72.25940704,-36.21310043,-123.68236540000001, 
174,82780679,-71.71862793,-28.74059677,-124.26290130000001, 
175,82797346,-71.30371094,-21.80706596,-125.6708527, 
176,82814013,-70.36422729,-15.39278793,-127.8884125, 
177,82830680,-68.99274445,-9.187398911,-130.6921844, 
178,82847347,-67.6157074,-3.394656897,-134.2247467, 
179,82864014,-66.24926758,1.576644063,-138.63801569999998, 
180,82880681,-64.66326904,5.5782399179999995,-143.6508026, 
181,82897348,-62.77203369,8.793901443,-148.5183411, 
182,82914015,-61.86357879999999,11.02600384,-153.4810181, 
183,82930682,-61.41152191,12.06893635,-158.8495331, 
184,82947349,-61.3740654,12.07014751,-164.3421631, 
185,82964016,-61.79062653,11.2540102,-169.4625244, 
186,82980683,-62.64594269,9.928382874,-173.87579350000001, 
187,82997350,-63.79615402,8.307837486,-177.5579071, 
188,83014017,-65.13689423,6.427844524,179.3780975, 
189,83030684,-66.50730896,4.3152160639999995,176.78466799999998, 
190,83047351,-67.70081329,2.18981576,174.6244507, 
191,83064018,-68.63790894,0.300850749,172.92150880000003, 
192,83080685,-69.4309082,-1.231893539,171.7336884, 
193,83097352,-70.19430542,-2.5249378680000003,170.9213104, 
194,83114019,-71.36089325,-2.849100351,170.60714719999999, 
195,83130686,-72.67887878,-2.4912440780000003,170.5353851, 
196,83147353,-71.78039551,-2.030511141,170.4666138, 
197,83164020,-69.99607086,-1.4775335790000002,170.4958038, 
198,83180687,-68.36136627,-0.9229086040000001,170.5872192, 
199,83197354,-67.56778717,-0.397657663,170.872757, 
200,83214021,-67.99295044,0.090757884,171.280426, 
201,83230688,-68.96085358,0.20394136,171.5448303, 
202,83247355,-69.64506531,-0.113689005,171.5977325, 
203,83264022,-69.72435759999999,-0.5778290629999999,171.5641632, 
204,83280689,-69.21646881,-0.76107955,171.5128479, 
205,83297356,-68.37750244,-0.8132879140000001,171.5749359, 
206,83314023,-67.61541748,-1.03483808,171.6376495, 
207,83330690,-67.06616211,-1.190704823,171.7295532, 
208,83347357,-66.83946228,-1.262444258,171.87420649999999, 
209,83364024,-66.81346893,-1.295737863,172.0209045, 
210,83380691,-66.93779755,-1.3444979190000002,172.1430664, 
211,83397358,-67.0022583,-1.4232391119999999,172.23730469999998, 
212,83414025,-66.83014679,-1.5185471769999999,172.33781430000002, 
213,83430692,-66.40460968,-1.650020719,172.4628296, 
214,83447359,-65.72266388,-1.8152449130000001,172.5864716, 
215,83464026,-64.66708374,-1.9930166009999999,172.7270966, 
216,83480693,-63.1327858,-2.152061224,172.91185, 
217,83497360,-61.06776047,-2.247373343,173.1810303, 
218,83514027,-58.48223114,-2.120014668,173.55847169999998, 
219,83530694,-55.47706985,-1.727196455,174.0331726, 
220,83547361,-51.89377975,-1.060330153,174.59909059999998, 
221,83564028,-47.70992279,-0.07806813,175.2841034, 
222,83580695,-43.18009567,1.27112031,176.0810394, 
223,83597362,-38.54833984,2.92099452,176.9936523, 
224,83614029,-34.22066498,4.824584484,178.0366211, 
225,83630696,-30.409572600000004,6.937805653,179.26239009999998, 
226,83647363,-27.21442032,9.246499062,-179.184021, 
227,83664030,-24.73841286,11.77591515,-177.3264923, 
228,83680697,-23.37267494,14.42407703,-175.27328490000002, 
229,83697364,-23.59802437,17.10125732,-173.0090332, 
230,83714031,-25.33157539,19.74801064,-170.55784609999998, 
231,83730698,-28.02381134,22.31468964,-168.1073914, 
232,83747365,-30.9539814,24.91665459,-165.9858856, 
233,83764032,-33.23709106,27.61592293,-164.2286835, 
234,83780699,-34.51844406,30.39331055,-162.5846558, 
235,83797366,-35.0455513,33.24353409,-161.05084230000003, 
236,83814033,-35.35422134,36.062603,-159.6455688, 
237,83830700,-35.70607758,38.88557053,-158.2773743, 
238,83847367,-36.06885529,41.75513077,-156.8378906, 
239,83864034,-36.28056335,44.67468262,-155.25473019999998, 
240,83880701,-36.31637573,47.57535553,-153.40069580000002, 
241,83897368,-36.10936737,50.46243286,-151.1221619, 
242,83914035,-35.48788071,53.33108521,-148.33514399999999, 
243,83930702,-34.41679764,56.17388916,-145.09107969999997, 
244,83947369,-32.87064743,58.92432785,-141.37884519999997, 
245,83964036,-30.84257317,61.4577713,-137.1934967, 
246,83980703,-28.38928795,63.69298172,-132.520401, 
247,83997370,-25.9480896,65.65036774,-127.603508, 
248,84014037,-24.21642494,67.3046875,-122.90320590000002, 
249,84030704,-23.74725151,68.63965607,-118.86757659999998, 
250,84047371,-24.54839516,69.65179443,-115.755928, 
251,84064038,-26.20041847,70.36841583,-113.72221370000001, 
252,84080705,-28.12534142,70.89244843,-112.90668490000002, 
253,84097372,-29.7632637,71.33127594,-113.279068, 
254,84114039,-30.8256588,71.76773071,-114.6229553, 
255,84130706,-31.325450899999996,72.17782593,-116.59226229999999, 
256,84147373,-31.24815941,72.55025482,-118.60976409999998, 
257,84164040,-30.7491951,72.85145569,-120.27353670000001, 
258,84180707,-30.10779572,73.06324768,-121.42194369999999, 
259,84197374,-29.70538521,73.09518433,-122.15122990000002, 
260,84214041,-29.75481796,72.86727905,-122.60630800000001, 
261,84230708,-30.24424934,72.41496277,-122.8759689, 
262,84247375,-30.78701973,71.82575226,-122.8297348, 
263,84264042,-31.16921043,71.12015533,-122.5873642, 
264,84280709,-31.29180527,70.32141876,-122.348526, 
265,84297376,-31.10133934,69.47133636,-122.18379209999999, 
266,84314043,-30.71027946,68.54985046,-122.18589779999999, 
267,84330710,-30.34068489,67.45639801,-122.35315700000001, 
268,84347377,-30.18699074,66.18614197,-122.48515320000001, 
269,84364044,-30.36421776,64.82196808,-122.5437469, 
270,84380711,-30.66793251,63.43484497,-122.51862340000002, 
271,84397378,-30.80270195,61.97121048,-122.4149246, 
272,84414045,-30.66114616,60.44882965,-122.2804108, 
273,84430712,-30.38493347,58.93016815,-122.19738770000001, 
274,84447379,-30.14621544,57.44003296,-122.15435790000001, 
275,84464046,-30.01691628,56.03368378,-122.10910030000001, 
276,84480713,-29.73715782,54.63959885,-121.97115330000001, 
277,84497380,-29.0718441,53.25582504,-121.8407288, 
278,84514047,-28.15778542,51.89266586,-121.8352203, 
279,84530714,-27.32670021,50.53282547,-121.8705063, 
280,84547381,-26.84514618,49.11479568,-121.85410309999999, 
281,84564048,-26.559825899999996,47.58528137,-121.8029709, 
282,84580715,-26.20729446,46.06097031,-121.85049440000002, 
283,84597382,-25.70364571,44.58162689,-121.9550247, 
284,84614049,-25.18008614,43.09960175,-122.0735245, 
285,84630716,-24.673770899999997,41.61790085,-122.25101470000001, 
286,84647383,-23.99512291,40.18769455,-122.45169070000001, 
287,84664050,-23.1254673,38.95691299,-122.7574463, 
288,84680717,-22.06432152,37.88018799,-123.0995483, 
289,84697384,-20.93136787,36.96697998,-123.46390530000001, 
290,84714051,-19.85406494,36.22025299,-123.8536682, 
291,84730718,-18.89570808,35.62840652,-124.22013090000002, 
292,84747385,-18.1047287,35.21591949,-124.5363541, 
293,84764052,-17.43424606,34.98711014,-124.8090439, 
294,84780719,-16.821870800000003,34.90441132,-125.0288925, 
295,84797386,-16.32615852,34.94431686,-125.2036285, 
296,84814053,-15.9793644,35.06317139,-125.35867309999999, 
297,84830720,-15.71624184,35.25432587,-125.4907913, 
298,84847387,-15.47830009,35.52591705,-125.5461044, 
299,84864054,-15.30190659,35.83565903,-125.51262659999998, 
300,84880721,-15.24495029,36.11904907,-125.47278590000002, 
301,84897388,-15.34518814,36.37474442,-125.4797821, 
302,84914055,-15.50933456,36.62981796,-125.5139923, 
303,84930722,-15.64316177,36.87334061,-125.5463257, 
304,84947389,-15.742096900000002,37.10636902,-125.5832443, 
305,84964056,-15.80232906,37.28402328,-125.6001205, 
306,84980723,-15.78493977,37.40291595,-125.6179199, 
307,84997390,-15.67582417,37.50193787,-125.61346440000001, 
308,85014057,-15.60010242,37.59833908,-125.5971146, 
309,85030724,-15.62425041,37.66810608,-125.5741882, 
310,85047391,-15.70454502,37.70813751,-125.5379257, 
311,85064058,-15.75689793,37.74372864,-125.48278810000001, 
312,85080725,-15.7708559,37.79520035,-125.4099121, 
313,85097392,-15.79005241,37.8290596,-125.34084320000001, 
314,85114059,-15.84051323,37.82577896,-125.29434199999999, 
315,85130726,-15.84028816,37.82442856,-125.28163909999998, 
316,85147393,-15.70394039,37.8500061,-125.2970047, 
317,85164060,-15.39654922,37.92596436,-125.3172913, 
318,85180727,-15.008421900000002,37.99723816,-125.3559494, 
319,85197394,-14.74939251,38.15743256,-125.42107390000001, 
320,85214061,-14.68464184,38.206993100000005,-125.38751979999999, 
321,85230728,-14.78148746,38.13257217,-125.3875504, 
322,85247395,-14.96148491,38.07226563,-125.43624879999999, 
323,85264062,-15.32534504,37.99988937,-125.51054380000001, 
324,85280729,-15.94157982,37.80828857,-125.5828629, 
325,85297396,-16.74013138,37.50754547,-125.7116241, 
326,85314063,-17.58583832,37.15715027,-125.89092250000002, 
327,85330730,-18.50976753,36.79504395,-126.0994568, 
328,85347397,-19.580175399999998,36.46107101,-126.37698359999999, 
329,85364064,-20.68887329,36.19595337,-126.7674103, 
330,85380731,-21.64192772,36.06438446,-127.34697720000001, 
331,85397398,-22.29166222,36.17800903,-128.13948059999998, 
332,85414065,-22.72452164,36.53884506,-129.07733149999999, 
333,85430732,-23.01806068,37.14029312,-130.16053770000002, 
334,85447399,-23.16638565,38.00482178,-131.3811493, 
335,85464066,-23.17163849,39.13493347,-132.6838531, 
336,85480733,-23.13607407,40.48931503,-134.0960999, 
337,85497400,-23.18652534,42.08063507,-135.62432859999998, 
338,85514067,-23.45799065,43.86229324,-137.2581482, 
339,85530734,-24.03146744,45.81835556,-139.0045624, 
340,85547401,-24.91244888,47.90789413,-140.8597107, 
341,85564068,-26.09098244,50.064445500000005,-142.80546569999998, 
342,85580735,-27.51854324,52.20572662,-144.7849274, 
343,85597402,-29.05703545,54.25007248,-146.62115480000003, 
344,85614069,-30.689863199999998,56.14088058,-148.2024841, 
345,85630736,-32.52311325,57.87466049,-149.5313721, 
346,85647403,-34.68085479999999,59.50296402,-150.67976380000002, 
347,85664070,-37.13025284,61.12762451,-151.69418330000002, 
348,85680737,-39.675975799999996,62.86920929,-152.587738, 
349,85697404,-41.97242737,64.71562195,-153.31352230000002, 
350,85714071,-43.61828613,66.51783752,-153.8404083, 
351,85730738,-44.56337357,68.14580536,-154.3466644, 
352,85747405,-45.004673,69.48995972,-154.81918330000002, 
353,85764072,-44.63854599,70.45821381,-154.3166656, 
354,85780739,-43.97920609,71.13227081,-153.10150149999998, 
355,85797406,-43.52436829,71.45580292,-151.97686769999999, 
356,85814073,-43.03196716,71.51624298,-151.0309143, 
357,85830740,-42.25471115,71.29055023,-149.89030459999998, 
358,85847407,-41.41879654,70.76163483,-148.4930725, 
359,85864074,-40.55305862,69.92717743,-146.81327819999998, 
360,85880741,-39.25748825,68.93468475,-144.6988831, 
361,85897408,-37.74328995,67.76773071,-142.37768549999998, 
362,85914075,-36.34767914,66.27355194,-140.1200104, 
363,85930742,-35.13233566,64.39459991,-138.0359497, 
364,85947409,-34.07130432,62.15940094,-136.15605159999998, 
365,85964076,-33.17348862,59.70804596,-134.479126, 
